distance_plan_m,easting_epsg25832,northing_epsg25832,raw_dgm_nhn_m,model_nhn_m,bridge_estimated
423.97505,353923.03717,5578272.00270,614.60241,614.60144,0.00000
425.97493,353922.05029,5578270.26310,614.41857,614.41563,0.00000
427.97482,353921.05584,5578268.52811,614.22573,614.22782,0.00000
429.97470,353920.05331,5578266.79801,614.03836,614.04251,0.00000
431.97458,353919.04222,5578265.07312,613.86180,613.86180,0.00000
433.97446,353918.02209,5578263.35373,613.68439,613.68274,0.00000
435.97435,353916.99241,5578261.64015,613.49938,613.50459,0.00000
437.97423,353915.95269,5578259.93266,613.33374,613.32798,0.00000
439.97411,353914.90246,5578258.23158,613.14502,613.15190,0.00000
441.97399,353913.84121,5578256.53720,612.97929,612.98004,0.00000
443.97387,353912.76818,5578254.85002,612.81142,612.81225,0.00000
445.97376,353911.68200,5578253.17104,612.64692,612.64541,0.00000
447.97364,353910.58123,5578251.50128,612.47572,612.47873,0.00000
449.97352,353909.46442,5578249.84178,612.31740,612.31076,0.00000
451.97340,353908.33011,5578248.19358,612.13938,612.13696,0.00000
453.97329,353907.17680,5578246.55783,611.95666,611.95910,0.00000
455.97317,353906.00239,5578244.93678,611.78113,611.78274,0.00000
457.97305,353904.80445,5578243.33336,611.60915,611.60857,0.00000
459.97293,353903.58053,5578241.75049,611.43576,611.43330,0.00000
461.97282,353902.32819,5578240.19111,611.25820,611.25324,0.00000
463.97270,353901.04497,5578238.65813,611.06606,611.06842,0.00000
465.97258,353899.72896,5578237.15398,610.88401,610.88225,0.00000
467.97246,353898.38206,5578235.67727,610.69666,610.69430,0.00000
469.97234,353897.00787,5578234.22499,610.50255,610.50429,0.00000
471.97223,353895.60999,5578232.79410,610.31458,610.31433,0.00000
473.97211,353894.19202,5578231.38156,610.12676,610.12267,0.00000
475.97199,353892.75755,5578229.98434,609.92919,609.92592,0.00000
477.97187,353891.31018,5578228.59941,609.72110,609.72660,0.00000
479.97176,353889.85301,5578227.22424,609.53249,609.52795,0.00000
481.97164,353888.38615,5578225.85934,609.33167,609.32510,0.00000
483.97152,353886.90863,5578224.50637,609.10738,609.12030,0.00000
485.97140,353885.41943,5578223.16696,608.92646,608.92141,0.00000
487.97129,353883.91758,5578221.84275,608.72495,608.72340,0.00000
489.97117,353882.40209,5578220.53540,608.51891,608.52498,0.00000
491.97105,353880.87195,5578219.24654,608.33278,608.32941,0.00000
493.97093,353879.32619,5578217.97782,608.13400,608.13342,0.00000
495.97081,353877.76381,5578216.73088,607.93493,607.93647,0.00000
497.97070,353876.18381,5578215.50736,607.73887,607.74154,0.00000
499.97058,353874.58522,5578214.30892,607.55228,607.54772,0.00000
501.97046,353872.96762,5578213.13633,607.34973,607.35190,0.00000
503.97034,353871.33286,5578211.98714,607.15831,607.15362,0.00000
505.97023,353869.68329,5578210.85813,606.95264,606.95142,0.00000
507.97011,353868.02127,5578209.74607,606.74401,606.74733,0.00000
509.96999,353866.34918,5578208.64774,606.54767,606.54407,0.00000
511.96987,353864.66937,5578207.55991,606.33520,606.34211,0.00000
513.96976,353862.98420,5578206.47937,606.14813,606.14198,0.00000
515.96964,353861.29603,5578205.40289,605.93912,605.93986,0.00000
517.96952,353859.60724,5578204.32724,605.73410,605.73722,0.00000
519.96940,353857.91920,5578203.25068,605.53859,605.53656,0.00000
521.96929,353856.23069,5578202.17541,605.33511,605.33633,0.00000
523.96917,353854.54002,5578201.10432,605.13512,605.13774,0.00000
525.96905,353852.84554,5578200.04029,604.94121,604.94203,0.00000
527.96893,353851.14555,5578198.98620,604.75259,604.74476,0.00000
529.96881,353849.43838,5578197.94492,604.53920,604.54276,0.00000
531.96870,353847.72237,5578196.91935,604.33797,604.34206,0.00000
533.96858,353845.99584,5578195.91234,604.14838,604.14502,0.00000
535.96846,353844.25710,5578194.92680,603.94517,603.94837,0.00000
537.96834,353842.50463,5578193.96538,603.75584,603.75080,0.00000
539.96823,353840.73884,5578193.02749,603.54981,603.54976,0.00000
541.96811,353838.96171,5578192.11003,603.34791,603.34509,0.00000
543.96799,353837.17523,5578191.20983,603.13675,603.13845,0.00000
